l=;1060nm;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;trope;trope;;midlatitude;;;midlatitude;;;clear;;;hazy;
;;;;;summer;;;winter;;;;;;;
height above sea level;;molecular;molecular;;molecular;molecular;;molecular;molecular;;aerosol;aerosol;;aerosol;aerosol
km;;absorption;scattering;;absorption;scattering;;absorption;scattering;;absorption;scattering;;absorption;scattering
0;;0;8.04E-04;;0;8.20E-04;;0;8.91E-04;;1.08E-02;7.83E-02;;5.28E-02;3.81E-01
1;;0;7.68E-04;;0;7.81E-04;;0;8.43E-04;;7.39E-03;5.34E-02;;3.33E-02;2.40E-01
2;;0;6.99E-04;;0;7.06E-04;;0;7.52E-04;;3.22E-03;2.33E-02;;1.22E-02;8.79E-02
3;;0;6.33E-04;;0;6.38E-04;;0;6.52E-04;;1.38E-03;9.94E-02;;4.45E-03;3.22E-02
4;;0;5.72E-04;;0;5.77E-04;;0;5.99E-04;;6.39E-04;4.62E-03;;1.62E-03;1.17E-02
5;;0;5.19E-04;;0;5.21E-04;;0;5.37E-04;;3.98E-04;2.87E-03;;5.93E-04;4.28E-03
6;;0;4.69E-04;;0;4.69E-04;;0;4.80E-04;;2.90E-04;2.10E-03;;2.90E-04;2.10E-03
7;;0;4.22E-04;;0;4.21E-04;;0;4.27E-04;;2.34E-04;1.69E-03;;2.34E-04;1.69E-03
8;;0;3.80E-04;;0;3.78E-04;;0;3.80E-04;;2.29E-04;1.65E-03;;2.29E-04;1.65E-03
9;;0;3.41E-04;;0;3.38E-04;;0;3.36E-04;;2.28E-04;1.64E-03;;2.28E-04;1.64E-03
10;;0;3.04E-04;;0;3.02E-04;;0;2.97E-04;;2.20E-04;1.59E-03;;2.20E-04;1.59E-03
11;;0;2.72E-04;;0;2.69E-04;;0;2.59E-04;;2.10E-04;1.52E-03;;2.10E-04;1.52E-03
12;;0;2.41E-04;;0;2.39E-04;;0;2.22E-04;;2.09E-04;1.51E-03;;2.09E-04;1.51E-03
13;;0;2.13E-04;;0;2.11E-04;;0;1.90E-04;;2.06E-04;1.49E-03;;2.06E-04;1.49E-03
14;;0;1.88E-04;;0;1.83E-04;;0;1.63E-04;;1.95E-04;1.41E-03;;1.95E-04;1.41E-03
15;;0;1.66E-04;;0;1.56E-04;;0;1.40E-04;;1.88E-04;1.36E-03;;1.88E-04;1.36E-03
16;;0;1.44E-04;;0;1.33E-04;;0;1.20E-04;;1.77E-04;1.28E-03;;1.77E-04;1.28E-03
17;;0;1.24E-04;;0;1.14E-04;;0;1.03E-04;;1.72E-04;1.24E-03;;1.72E-04;1.24E-03
18;;0;1.05E-04;;0;9.72E-05;;0;8.80E-05;;1.68E-04;1.21E-03;;1.68E-04;1.21E-03
19;;0;8.63E-05;;0;8.29E-05;;0;7.53E-05;;1.52E-04;1.10E-03;;1.52E-04;1.10E-03
20;;0;7.16E-05;;0;7.07E-05;;0;6.45E-05;;1.20E-04;8.65E-04;;1.20E-04;8.65E-04
21;;0;5.96E-05;;0;6.02E-05;;0;5.51E-05;;8.73E-05;6.31E-04;;8.73E-05;6.31E-04
22;;0;4.98E-05;;0;5.14E-05;;0;4.70E-05;;6.44E-05;4.66E-04;;6.44E-05;4.66E-04
23;;0;4.19E-05;;0;4.38E-05;;0;4.01E-05;;4.89E-05;3.53E-04;;4.89E-05;3.53E-04
24;;0;3.55E-05;;0;3.74E-05;;0;3.43E-05;;3.80E-05;2.75E-04;;3.80E-05;2.75E-04
25;;0;3.02E-05;;0;3.19E-05;;0;2.93E-05;;3.10E-05;2.24E-04;;3.10E-05;2.24E-04
30;;0;2.01E-05;;0;2.15E-05;;0;1.95E-05;;1.66E-05;1.20E-04;;1.66E-05;1.20E-04
35;;0;9.20E-06;;0;9.89E-06;;0;8.79E-06;;4.73E-06;3.42E-05;;4.73E-06;3.42E-05
40;;0;4.37E-06;;0;4.71E-06;;0;3.95E-06;;1.25E-06;9.00E-06;;1.25E-06;9.00E-06
45;;0;2.15E-06;;0;2.31E-06;;0;1.83E-06;;3.28E-07;2.37E-06;;3.28E-07;2.37E-06
50;;0;1.09E-06;;0;1.19E-06;;0;0.00E+00;;8.64E-08;6.24E-07;;8.64E-08;6.24E-07
70;;0;0;;0;0.00E+00;;0;0;;7.79E-09;5.63E-08;;7.79E-09;5.63E-08
100;;0;0;;0;0.00E+00;;0;0;;2.67E-11;1.93E-10;;2.67E-11;1.93E-10
